dp,"vd,zs14,H0=0,Exp5","vd,zs14,H0=200,Exp9","vd,zs14,H0=600,Exp17","dp&Exp5,9,17","vd,LES,Exp5","vd,LES,Exp9","vd,LES,Exp17","dp&Exp24,27,33","vd,LES,Exp24","vd,LES,Exp27","vd,LES,Exp33",dp,"vd,zs14,H0=0,Exp=24","vd,zs14,H0=200,Exp=27","vd,zs14,H0=600,Exp=33"
0.0031992671377973846,0.00018653680917293913,0.00022455896501450486,0.0002675317558077422,,,,,,,,,0.0031992671377973846,0.0076813017890045455,0.008543901334969515,0.009915005630457059
0.003593813663804626,0.0001667635167141642,0.00020075461573987303,0.0002391747839476834,,,,,,,,,0.003593813663804626,0.007170042256879629,0.008017108393458101,0.009374418150535246
0.004037017258596553,0.0001495088503016604,0.00017998324737244606,0.0002144288419083351,,,,,,,,,0.004037017258596553,0.006636121670146009,0.007461188761104763,0.008795256955450368
0.004534878508128582,0.00013439827677096456,0.00016179496399357996,0.00019276012455835272,,,,,,,,,0.004534878508128582,0.006089002981225338,0.006885270586256229,0.008185567869423543
0.0050941380148163806,0.00012111951391141877,0.0001458144095445931,0.00017372282409772516,,,,,,,,,0.0050941380148163806,0.005538963114096132,0.006299751905099064,0.007555283971961006
0.00572236765935022,0.00010941239265889481,0.0001317287245834204,0.0001569450717592194,,,,,,,,,0.00572236765935022,0.004996326337597307,0.005715559006944051,0.006915609107423868
0.006428073117284319,9.906001244755079e-05,0.00011927700315393995,0.00014211656957223445,,,,,,,,,0.006428073117284319,0.004470704904353076,0.005143338758100244,0.006278230025575029
0.007220809018385464,8.988115129966022e-05,0.0001082412231314008,0.0001289779123960189,,,,,,,,,0.007220809018385464,0.003970361866785295,0.004592709001277689,0.005654472081351941
0.008111308307896872,8.172387452655697e-05,9.84385955461035e-05,0.0001173115573231095,,,,,,,,,0.008111308307896872,0.0035017781727102034,0.004071674052082958,0.005054525219946554
0.009111627561154887,7.446025866691574e-05,8.971524123035075e-05,0.00010693434603978552,,,,,,,,,0.009111627561154887,0.003069457239444147,0.0035862704232317096,0.004486847098916341
0.010235310218990263,6.79821157716725e-05,8.194106211099997e-05,9.769143190970553e-05,,,,,,,,,0.010235310218990263,0.0026759518023272578,0.003140456421971336,0.003957806510014511
0.011497569953977356,6.219757684000075e-05,7.500564073369671e-05,8.945141995398552e-05,,,,,,,,,0.011497569953977356,0.002322063121689599,0.0027362142672423804,0.003471578154274016
0.01291549665014884,5.702838073533118e-05,6.881498528628371e-05,8.210250618677131e-05,,,,,,,,,0.01291549665014884,0.0020071471787851906,0.002373805366397291,0.003030255023001217
0.014508287784959394,5.240772017737633e-05,6.328894290198159e-05,7.554940788537985e-05,,,,,,,,,0.014508287784959394,0.0017294644128703685,0.002052110852809567,0.002634117137307783
0.016297508346206444,4.827851664537876e-05,5.835912787292768e-05,6.971090385515356e-05,,,,,,,,,0.016297508346206444,0.0014865226629665242,0.0017689964596903556,0.0022819873167682645
0.01830738280295368,4.459202390037065e-05,5.39672446317451e-05,6.451784273599963e-05,,,,,,,,,0.01830738280295368,0.0012753803745273228,0.001521656442032905,0.0019716119175852078
0.020565123083486514,4.1306687313390644e-05,5.006371821768587e-05,5.991151614151456e-05,,,,,,,,,0.020565123083486514,0.0010928935791968658,0.001306909059507234,0.001700020303896785
0.02310129700083159,3.8387208125621125e-05,4.660657118853175e-05,5.584232440041895e-05,,,,,,,,,0.02310129700083159,0.0009359028502415926,0.0011214317058481887,0.0014638347857611773
0.02595024211399736,3.580377685117804e-05,4.356050396887023e-05,5.226868393369225e-05,,,,,,,,,0.02595024211399736,0.0008013646438020088,0.0009619351066051362,0.0012595185297822357
0.029150530628251757,3.353144961916843e-05,4.089614705424177e-05,4.91561387472022e-05,,,,,,,,,0.029150530628251757,0.0006864356969255975,0.0008252829035215445,0.001083560512607294
0.03274549162877728,3.1549647434269335e-05,3.8589460833347644e-05,4.64766471239022e-05,,,,,,,,,0.03274549162877728,0.0005885205305303489,0.0007085661891373069,0.0009326037100704497
0.036783797718286326,2.9841762749001137e-05,3.662126400238516e-05,4.420802067953746e-05,,,,,,,,,0.036783797718286326,0.0005052916887122333,0.000609143263227659,0.000803526150941463
0.04132012400115337,2.8394861291334507e-05,3.497687570895393e-05,4.233349777502734e-05,,,,,,,,,0.04132012400115337,0.0004346910104155234,0.000524654090773847,0.0006934853089713451
0.046415888336127795,2.7199470187398363e-05,3.364586015961454e-05,4.084143742241565e-05,,,,,,,,,0.046415888336127795,0.0003749185747836678,0.00045301743920645734,0.0005999355939252182
0.052140082879996844,2.6249446247614513e-05,3.262186567211025e-05,3.9725123525383854e-05,,,,,,,,,0.052140082879996844,0.0003244143428365322,0.0003924169795887319,0.0005206272293882966
0.05857020818056667,2.5541920962776894e-05,3.1902553180431936e-05,3.898267270464379e-05,,,,,,,,,0.05857020818056667,0.00028183611142775563,0.0003412810469013618,0.00045359310464654633
0.0657933224657568,2.5077321387371127e-05,3.148961212198665e-05,3.8617042197017676e-05,,,,,,,,,0.0657933224657568,0.00024603626162662004,0.0002982594049860741,0.0003971285683163012
